question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
RNA makes DNA by the use of which enzyme?,"ANSWER: (A) Reverse TranscriptaseREF: Lippincott s biochemistry 4th Ed Page 408, Harper 29th ed Table 39-3CLASSES OF PROTEINS INVOLVED IN REPLICATIONProteinFunction-DNA polymerasesDeoxynudeotide polymerizationHeli casesProcessive unwinding of DNATopoisomerasesRelieve torsional strain that results from helicase-induced unwindingDNA primaseInitiates synthesis of RNA primersSingle-strand binding proteinsPrevent premature reannealing of dsDNADNA ligaseSeals the single strand nick between the nascent chain and Okazaki fragments on lagging strand SOME OP THE ENZYMES USED IN RECOMBINANT DNA RESEARCHEnzymeReactionPrimary useAlkaline phosphataseDephosphorylates 5' ends of RNA and DNARemoval of 5 -PO4 groups prior to kinase labeling; also used to prevent seif-ligationBAL31 nudeaseDegrades both the 3' and 5' ends of DNAProgressive shortening of DNA moleculesDNA ligaseCatalyzes bonds between DNA moleculesJoining of DNA moleculesDNA polymerase ISynthesizes double-stranded DNA from single-stranded DNASynthesis of double-stranded cDNA; nick translation; generation of blunt ends from sticky endsDNase IUnder appropriate conditions, produces single-stranded nicks in DNANick translation; mapping of hypersensitive sites; mapping protein- DNA interactionsExonuclease IIIRemoves nucleotides from 3' ends of DNADNA sequencing; mapping of DNA- protein interactionsX ExonucleaseRemoves nucleotides from 5' ends of DNADNA sequencingPolynucleotide kinaseTransfers terminal phosphate (g--position) from ATP to 5'-OH groups of DNA or RNA32P end-labeling of DNA or RNAReverse transcriptaseSynthesizes DNA from RNA templateSynthesis of cDNA from mRNA; RNA (5' end) mapping studiesSI nucleaseDegrades single-stranded DNARemoval of ""hairpin"" in synthesis of cDNA; RNA mapping studies (both 5' and 3' ends)Terminal transferaseAdds nucleotides to the 3' ends of DNAHomopolymer tailingA reverse transcriptase is involved in the replication of retroviruses, such as human immunodeficiency virus (HIV). These viruses carry their genome in the form of ssRNA molecules. Following infection of a host cell, the viral enzyme, reverse transcriptase, uses the viral RNA as a template for the 5'- 3' synthesis of viral DMA, which then becomes integrated into host chromosomes. Reverse transcriptase activity is also seen with transposons, DNA elements that can move about the genome. In eukaryotes, such elements are transcribed to RNA, the RNA is used as a template for DNA synthesis by a reverse transcriptase encoded by the transposon, and the DNA is randomly inserted into the genome. Reverse transcriptases, then, are RNA-directed DNA polymerases.cDNA libraries: If a gene of interest is expressed at a very high level in a particular tissue, it is likely that the messenger RNA (mRNA) corresponding to that gene is also present at high concentrations in the cell. For example, reticulocyte mRNA is composed largely of molecules encoding the a-globin and b-globin chains of hemoglobin. This mRNA can be used as a template to make a complementary dsDNA (cDNA) molecule using the enzyme reverse transcriptase. The resulting cDNA is thus a double-stranded copy of mRNA. cDNA can be amplified by cloning or by the polymerase chain reaction. It can be used as a probe to locate the gene that coded for the original mRNA (or fragments of the gene) in mixtures containing many unrelated DNA fragments. If the mRNA used as a template is a mixture of many different size species, the resulting cDNA are heterogeneous. These mixtures can be cloned to form a cDNA library. Because cDNA has no interveningsequences, it can be cloned into an expression vector for the synthesis of eukaryotic proteins by bacteria . These special plasmids contain a bacterial promoter for transcription of the cDNA, and a Shine-Dalgamo sequence that allows the bacterial ribosome to initiate translation of the resulting mRNA molecule.",1,Reverse Transcriptase,DNA Polymerase Synthase,RNA Polymerase synthase,DNA Topoisomerase,Biochemistry,DNA Replication ,0ea62a68-c834-4a7a-b777-e021885e297f,single,1
Enzyme which prevents aging/senescence is:,Teloemrase prevents ageing. Telomerase RNA dependent DNA polymerase/ Reverse transcriptase Absent in somatic cells Not a ribozyme It is a ribonucleoprotein (RNA + protein)(act as enzyme). Increases longevity of cells Prevents telomere shoening (prevents ageing or senescence) Activity of enzyme decreased in ageing increased in cancer Premature ageing (Progeria) occurs if telomerase decreases,3,DNA Polymerase,Catalase,Telomerase,Peroxidase,Biochemistry,Replication,805ab190-4f8b-46fb-9afa-07cb628925d0,single,3
"In the biosynthesis of urea, one nitrogen atom is derived from ammonia while the other nitrogen atom is from:",Nitrogens of urea are derived from:- N1 from ammonia N2 from Aspaate Source of urea Carbon and Nitrogen.,3,Glycine,Alanine,Aspaate,Glutamate,Biochemistry,Urea cycle,a244ddca-f6fa-4aa2-b707-bdc8295491c8,single,3
CO is released in reaction catalyzed by-,"Ans. is 'c' i.e., Heme oxygenase o The oxidation of heme, catalyzed by heme oxygenase, releases carbon monoxide, iron and biliverdin IX a.o Low levels of CO derived from heme oxygenase reaction in certain tissues play an important role in physiological response to stress.o CO participates in several signalling pathways in which CO exerts vasoregulatory, anti-inflammatory, antiapoptotic and antiproliferative effects.o Evidence is accumulating that CO plays an especially important role in neural signaling.",3,Decarboxylases,Carboxylases,Heme oxygenase,Pyruvate dehydrogenase,Biochemistry,Mechanisms of Enzyme Action,17620840-7322-406e-8534-2ab7a9415a22,single,3
Which is the only prokaryotic DNA polymerase with 5'-3' exonuclease activity?,"DNA polymerase I 1st DNA polymerase discovered Only polymerase with 5'-3' exonuclease activity. DNA polymerase I 5' - 3' polymerase Polymerisation 3' - 5' exonuclease Proofreading 5' - 3' exonuclease Removal of RNA primer, DNA repair, nick-translation",1,DNA Polymerase I,DNA Polymerase II,DNA Polymerase III,DNA Polymerase IV,Biochemistry,Replication,b22bf910-f3a6-4240-8865-aa033a7e3aae,single,1
Which of the following inborn error of metabolism has porphyria like clinical features?,Succinylacetone accumulates in hereditary tyrosinemia type I (fumarylacetoacetate hydrolase deficiency). Succinylacetone is structurally similar to ALA and inhibits ALA dehydratase leading to porphyria like features.,2,Phenylketonuria,Tyrosinemia type I,Alkaptonuria,Metachromatic leukodystrophy,Biochemistry,HAEM synth and porphyrias,fa14c2c8-e252-4d90-9be7-98a808f0feab,single,2
Type of bond seen between the phosphate group and 5' carbon of ribose sugar within a nucleotide is:,"The question ask about bond in a single nucleotide and not between two nucleotides. Hence the answer will be ester bond and not phosphodiester bond. Ester bond or Phosphoester bond >>Acid Anhydride Bond between 2 nucleotides Phosphodiester bond Bond between Phosphate & sugar with a nucleotide Ester or phosphoester bond Bond between 5' or 3' carbon of sugar & Oxygen anion of phosphate is ester bond ( phosphoester or acid anhydride bond). Beta N- glycosidic bond is between N-base & sugar. Between two nucleotides, this phosphate group will form two C-O links ( one with 5' C of incoming sugar & other with 3' carbon of the previous sugar), so it is known as 3'5' phosphodiester bond .",2,Phosphodiester bond,Ester bond,Beta N- glycosidic bond,Acid anhydride bond,Biochemistry,Basics of DNA,a0bc42bd-1860-4a6a-8fda-4772dc1a338f,single,2
DNA synthesis occurs in phase-,"Ans. is 'c' i.e., S o In the cell, the replication of the DNA occurs only at a specific time during the life of the cell. This period is referred to as the synthetic phase. The various phases of cell cycle are (in sequence) G0 - G1 - S - G2 - M. G1 : Presynthetic phase/interval. S : Synthetic phase (DNA synthesis). G2 : Post-synthetic phase/premitotic phase/interval. M : Mitotic phase: Cells are produced which either directly reenter next cycle or pass into non-proliferative G0 phase. G0 : the Quiescent state.",3,G1,G2,S,M,Biochemistry,DNA Replication ,1ff84b2e-310d-4f87-b0d6-92028e6ac18a,single,3
b-galactosidase deficiency is seen in -,"Ans. is 'd' i.e., Krabbe's disease DiseaseEnzyme deficiencyLipid accumulatedTay-sach diseaseHexosaminidase AGM2 gangliosideSandoff diseaseHexosaminidase BGM2 gangliosideNiemann-Pick diseaseSphingomyelinaseSphingomyelineFarber's diseaseCeramidaseAcyl-sphingosine (ceramide)Fabry's diseasea-galactosidaseGlobotrisylceramideKrabbe's diseaseb-galactosidase (Galactosylceramidase)GalactosylceramideGaucher's diseaseb-glucosidase (glucocerebrosidase)GlucosylceramideMetachromatic leukodystrophyArylsulfatase A3-Sulfogalactosylceramide",4,Tay-Sach disease,Niemann - Pick disease,Gaucher's diseased,Krabbe's disease,Biochemistry,"Phospholipids, Glycolipids and their disorders",31ecce71-4c61-438e-a081-9e182d0f1798,single,4
Rate limiting enzyme of Haem synthesis in erythroid tissue is:,RLE in Haem Synthesis is - ALA Synthase ALA Synthase I : Expressed throughout the body. (Rate limiting step in liver) ALA Synthase II: Expressed in erythroid tissues,4,PBG deaminase,Uroporphyrin II cosynthetase,ALA synthase I,ALA synthase II,Biochemistry,HAEM synth and porphyrias,bae414fe-df92-47aa-9f55-0d931e0fb530,single,4
Function of Golgi apparatus:,"Ans: A (Storing and packing of proteins) Ref: Harper's illustrated Biochemistry, 29th edition.Explanation:StructureFunctionNucleus* Contains genetic materialRibosomes* Protein synthesis ( Translation)RoughEndoplasmicreticulum* Synthesis/modification and transport of proteins and lipids* Folding of protein molecules in sacs called cisternae* Transport of synthesized proteins in vesicles to the Golgi apparatus.SmoothEndoplasmicreticulum* Synthesizes lipids, phospholipids, and steroids* Plays a major role in excitation-contraction coupling in skeletal muscles* Metabolism of carbohydrates, drug detoxification, attachment of receptors on cell membrane proteins, and steroid metabolism.Golgi apparatus* Processing, distribution of proteins & lipids* Major collection and dispatch station of protein products received from the endoplasmic reticulum* Post-translational modification of proteinsLysosomes* Digestion of substances in ceil* contain acid hydrolase enzymes* Digest excess or worn-out organelles, food particles, and engulfed viruses or bacteriaPeroxisomes* Lipid metabolism and detoxification* Breakdown of very long chain fatty acids through beta-oxidationCentriole* Cytcskeletal organization",1,Storing and packing of proteins,Breaking of fatty acids,Steroid synthesis,DNA replication,Biochemistry,Membrane Structure & Function,b3829a01-dfea-4454-9c48-e43c751b4717,single,1
Porphyrin of normal erythrocyte haemoglobin is,"Heme is iron containing protoporphyrin. Protoporphyrins are named according to the side chains, i.e. Methyl, vinyl, propionyl.",3,Coproporphyrin I,Uroporphyrin III,Protoporphyrin III,Uroporphyrin I,Biochemistry,HAEM synth and porphyrias,a74255de-be5e-4e01-b074-37a919a2c04a,single,3
"THEME AND FOCUS: UREA CYCLE Case Study: A patient presented to casualty with nausea, vomiting. Intravenous glucose was given and the patient recovered. After few months, patient presented with same complaints. Blood glutamine was found to be increased. Also uracil levels were raised. Lead Question: What is the diagnosis?","Glutamine increase or Hyperammonemia is a common feature of all the urea cycle enzyme but in this case uric acid levels are also increased so it is more specifically indicating ornithine Trans Carbamoylase deficiency (See fig and treasure) and not other enzymes. Hence the diagnosis is OTC deficiency. NOTE:- CPS-II (Carbamoyl Phosphate Synthetase-II) is enzyme involved in pyrimidine synthesis, not in urea cycle.",4,CPS-I deficiency,Arginino succinate synthetase deficiency,CPS-II deficiency,Ornithine trans carbamoylase deficiency,Biochemistry,Urea cycle,06e12e56-dca2-4d9b-b749-d3f4dac62c94,single,4
Glycolipids are formed in -,"Ans. is 'd' i.e., Endoplasmic reticulum o Like the glycoproteins, glycolipids (glycosphingolipids) are synthesized in the endoplasmic reticulum, then transported into the golgi apparatus and eventually otward to joini the outer surface of plasma membraneo Glycolipids are formed by attachment of a carbodydrate component (monosaccharide or oligosaccharide) to ceramide. They are commonly referred to as glycosphingo lipids because presence of sphingosine backbone (within ceramide).o Depending on the nature of carbohydrate component attached, four types of glycosphingolipids are recognized: Cerebrosides, Sulfatids, globosides and gangliosides1) Cerebrosides (Ceramide + monosaccharide):-# Cerebrosides are the simplest + glycolipids in which a monosaccharide is attached to ceramide.# The monosaccharide is commonly either glucose (glucocerebroside) or galactose (galactocerebroside).# Galactocerebroside is the most common cerebroside found in nerve tissue membrane, whereas glucocerebroside is the predominant glycolipid in extraneural tissues, where it serves as a precursor for synthesis of more complex glycolipids, e.g. gangliosides.2) Sulfatides:-# Sulfatides are are cerebrosides in which the monosaccharide (mostly galactose) contains a sulfate ester.3) Globosides (Ceramide + oligosaccharide):-# They contain two or more sugars (oligosaccharide chain) attached to ceramide.4) Gangliosides (Cerebroside + oligosaccharides + N-acetylneuromic acid NANA):-# Gangliosides are complex glycolipids, derived from glucocerebroside.# Ganglioside contain oligosaccharides and one or more molecules of sialic acid which is usually N-acetyl neuramic acid (NANA) attached to ceramide.# Several types of gangliosides such as GM1, GM2, GM3 etc have been isolated from brain and other tissues.",4,Mitochondria,Cytosol,Peroxisomes,Endoplasmic reticulum,Biochemistry,"Phospholipids, Glycolipids and their disorders",8745ed4d-516e-4998-8e66-f5f9c969ca27,single,4
Which of the following binds to Tyrosine Kinase receptor?,"Insulinand insulin like growth factor 1 receptors contain intrinsic ligand activatedtyrosine kinase activity. Receptor tyrosine kinases play a critical role in regulating cell differentiation, proliferation, growth and metabolism.",2,LH,Insulin,TSH,TRH,Biochemistry,NEET Jan 2020,b317a366-9509-4f6e-9eab-384bcbafcc5c,single,4
Ketone bodies cannot be utilized by which of the following?,Ans. b. Red blood cells (Ref: Harper's 27/e p190-191)Ketone bodies cannot be utilized Red blood cells.Substrate utilized for energy productionOrganFedFastingStarvationBrainGlucoseGlucoseKetone bodiesQHeartFatty acidQFatty acidKetone bodiesLiverGlucoseFatty acidAmino acidMusclesGlucoseFatty acidFatty acidHeart utilizes fatty acids even in fed state. Brain doesn't use fatty acid for energy production.,2,Skeletal muscle,Red blood cells,Brain,Heart,Biochemistry,Oxidation of Fatty acids: Ketogenesis,eee939ee-85bd-456f-a026-408ca098608e,single,2
Polymerase chain reaction is used for -,"Ans. is 'b' i.e.. Amplification of DNA in vitro o PCR is a method of enzymatic amplification of a target sequence of DNA.o It is sensitive, selective (specific) and extremely rapid means of amplifying any desired sequence of double stranded DNA, which can be as short as 50-100 base pairs (bp) and as long as 10 kbp.o In PCR, the DNA to be amplified is replicated by DNA polymerase of Thermus aquaticus (Taq).o Taq polymerase is used because it is thermostable, not denatured at a temperature upto 95degC (in PCR DNA is to be heated to 94deg-95deg C for separation of strands).o For amplifying a desired DNA sequence in DNA. we have to know short flanking sequences on either side of the target sequence so that complementary' primers can be prepared,o Primers are the synthetic oligonucleotides of 20-35 sequence, which have sequence complementary' to flanking sequence, i.e. sequence of flanking region of target DNA sequence,o Primers are amplified to produce desired sequence of DNA.",2,Cloning of DNA in vitro,Amplification of DNA in vitro,DNQA sequencing,Visualization of nucleic acid,Biochemistry,DNA Replication ,6ab77f9d-13af-45fb-a083-642762a6e026,single,2
Enzyme activated by decrease in Insulin: glucagon ratio:,"Low Insulin: Glucagon ratio means=Catabolicstate (Aslow insulinmeansFasting stateor catabolic state).Insulinis released in Fed state. So, in fasting stateglucose-6-phosphatasewill be active as this enzyme is involved ingluconeogenesis,which occurs duringfasting. OTHER OPTIONS OPTION A: Glucokinase phosphorylates glucose in liver and pancreas, active in fed state and is induced by insulin. OPTION B: Hexokinase also phosphorylates glucose and is present in all cells of the body. It is active in any situation in body as it is a general enzyme to phosphorylate glucose OPTION C: Phospho fructokinase is involved in glycolysis. PFK-1 is active in any situation and PFK-2 is active only in fed state.",4,Glucokinase,Hexokinase,PFK,Glucose 6 phosphatase,Biochemistry,NEET Jan 2020,fba17273-bad2-4239-898c-4d5e17ec1820,single,4
An enzyme involved in fructose metabolism is:,"Enzymes involved in phase II of glycolysis are used in fructose metabolism also. Glyceraldehyde-3-P Dehydrogenase is an enzyme of phase II of glycolysis. But Phase I enzymes of glycolysis are different for glucose & different for fructose. Aldolase A is in glycolysis Aldolase B is in fructose metabolism Fructose metabolism characterstics Organ: Liver mainly Source: Disaccharide - sucrose (contains equal amount of glucose and fructose), in monosaccharide form i.e. Fructose in Fruits, Honey and high fructose corn syrup (55% fructose, 45% glucose), Sugarcane Fructose entry into cells is insulin independent Fructose ingestion does not leads to insulin release Major source of energy for sperms (present in seminal fluid)",2,Glucokinase,Glyceraldehyde-3-P Dehydrogenase,Aldolase A,PFK-1,Biochemistry,Galactose and fructose metabolism,81489c51-1492-4432-8d05-598880e02ddb,single,2
Not an intermediate product of citric acid cycle is:,"Ans. a. Acetyl Co-A (Ref: Harper's 29/e p165)Acetyl Co-A is a starting molecule, not an intermediate product of citric acid cycle.Citric acid cycle or Krebb's Cycle or TCA cycleCitric acid cycle is a series of reaction in mitochondriaQ that oxidize acetyl CO-A and reduce coenzyme that upon reoxidation are linked to the formation of ATP.Inhibitors of TCA eyeletAconitase which isomerizes citrate to isocitrate, is non competitively inhibited by a rat poison fluoroacetateQ. Fluoroacetate (with acetyl CoA) is converted to fluoroacetyl CoA. which condenses with oxaloacetate to formQ fluoro-citrate - a potent non competitive inhibitor of aconitase - resulting in citrate accumulation.Alpha ketoglutarate dehydrogenase enzyme (which converts a-ketoglutarate tosuccinyl CoA by oxidative decarboxylation) is non-competitively inhibited by arsenite (trivalent arsenic) causing the substrate alpha ketoglutarate to accumulate. Arsenite forms a stable complex with thiol group of lipoic acid making it unavailable to serve as a coenzyme.Oxidation of succinate to fumarate by succinate dehydrogenase is competitively inhibited by malonate. Succinate dehydrogenase is the only enzyme of TCA cycle that is embedded in inner mitochondrial membrane and so also functions as complex II of electron transport chain.Hyperammonemia (| NH3) usually due to urea cycle defect inhibits TCA cycle by depleting a-ketoglutarateQ.Inhibitor of TCA cycleEnzymeInhibition TypeFluoroacetate (Rat poison)AconitaseQNon-competitiveArsenite (Trivalent Arsenic)Alpha-ketoglutarate dehydrogenaseNon-competitiveMalonateSuccinate dehydrogenaseQCompetitiveAmmonia IntoxicationBy depleting Alpha-ketoglutarateQ 4-B Complex Vitamins are Essential in the TCA (Citric Acid) CycleRiboflavinQ (B2)NiacinThiamineQ (B1)Pentothenic acid* In the form of FAD, a cofactor in* a- ketoglutarate dehydrogenase complex succinate dehydrogenase.* In the form of NAD, the electron acceptor coenzyme for three dehydrogenase:* Isocitrate dehydrogenase* a- ketoglutarate dehydrogenase* Malate dehydrogenase* As thiamine diphosphate (TDP/TPP), coenzyme for decarboxylation in a- ketoglutarate dehydrogenase reaction.* As part of coenzyme* A, the cofactor attached to active carboxylic acid residue such as acetyl CoA and succinyl CoA.",1,Acyl Co-A,Succiny1 Co-A,Citrate,a-ketoglutarate,Biochemistry,Kerbs Cycle,87dd0ba4-50c0-4fd0-a4dd-e97df2fe0d87,single,3
"During starvation, which of the following shows the most marked increase in plasma concentration:","During starvation=Ketone Bodies are increased in blood It is the fuel for vital organs:-hea,brain and skeletal muscles. Liver constantly synthesize minimal amounts of Ketone Bodies normally but the amounts are significantly raised during Fasting and Starvation as these organs extract ATPs (energy) from them. WITH REGARDS TO OTHER OPTIONS: (Option 1 and 2) i.e glycogen and glucose respectively are decreased during starvation. (Option 4) Free fatty acids are increased in both fasting and starvation.",3,Glycogen,Glucose,Ketone bodies,Free fatty acids,Biochemistry,"Fuel in Fed, Fasting and Starvation",96f00106-39b4-43b1-a037-34bcebf82ece,single,3
HHH syndrome is due to defect in:-,"HHH syndrome is due to defect in Ornithine permease of mitochondrial membrane. Hyperornithinemia: As ornithine can't enter mitochondria, it accumulates in blood. Hyperammonemia: As ornithine is not available, urea cycle can't operate i.e. NH3 can't be detoxified. Homocitrullinuria: As ornithine is not available, ornithine homologue lysine reacts with Carbamoyl phosphate to produce homocitrulline. (Difference between lysine and ornithine is just one CH2 group)",2,Ornithine transcarbamoylase,Ornithine permease,Ornithine decarboxylase,Ornithine,Biochemistry,Urea cycle,f12dfe5d-daa6-4ff9-a423-32fa86b67722,single,2
"During fasting, which of the following is released from the muscles?","*Alanine is formed from glucose in muscles during fasting conditions. *This alanine comes out in blood, then taken up by liver *In liver it is conveed back to glucose by a pathway known as gluconeogenesis. *Then this glucose is again supplied to the fasting muscle. So, a cycle is formed known as Cahill cycle (see treasure).",1,Alanine,Glutamine,Branched keto acid,Asparagine,Biochemistry,"Fuel in Fed, Fasting and Starvation",e41bdf13-fe80-49c8-bda8-6d8608bd1a84,single,1
Function of Helicase is -,"Ans. is 4b' i.e., Unwinding of DNA ProteinFunctionDNA polymerasesDeoxynucleotide polymerizationHelicasesProcessive unwinding of DNATopoisomerasesRelieve torsional strain that results from helicase-induced unwindingDNA primaseInitiates synthesis of RNA primersSingle-strand binding proteinsPrevent premature reannealling of dsDNADNA ligaseSeals the single strand nick between the nascent chain and Okazaki fragments on lagging strand",2,Reanneal ling of DNA,Unwinding of DNA,Synthesis of RNA primer,DNA polymerization,Biochemistry,DNA Replication ,5322743b-b9a6-44ee-87e0-467fbce177e9,single,2
Which absorbs least water?,"Cellulose: It is unbranched, non-starch homopolysaccharide It is made up of b - Glucose Acts as FIBRES in the diet Cellulose is present in the cell walls of plants and other organisms FIBRES 2 TYPES: INSOLUBLE SOLUBLE Cellulose, Hemicellulose Excreted unchanged. Thus, it absorbs least water Pectins, Gums Absorbs H2O& conveed to Gel form, which is excreted",2,Mucilage,Cellulose,Gums,Pectin,Biochemistry,NEET Jan 2020,92dc1bda-5751-4027-8d04-10970e1981d2,single,1
Lysosomal accumulation of sphingomyeline is seen in-,"Ans. is 'a' i.e., Niemann-Pick disease DiseaseEnzyme deficiencyLipid accumulatedTay-sach diseaseHexosaminidase AGM2 gangliosideSandoff diseaseHexosaminidase BGM2 gangliosideNiemann-Pick diseaseSphingomyelinaseSphingomyelineFarber's diseaseCeramidaseAcyl-sphingosine (ceramide)Fabry's diseasea-galactosidaseGlobotrisylceramideKrabbe's diseaseb-galactosidase (Galactosylceramidase)GalactosylceramideGaucher's diseaseb-glucosidase (glucocerebrosidase)GlucosylceramideMetachromatic leukodystrophyArylsulfatase A3-Sulfogalactosylceramide",1,Niemann-Pick disease,Farber's disease,Tay Sach's disease,Krabbe's disease,Biochemistry,"Phospholipids, Glycolipids and their disorders",24cb9d1f-f162-40d4-aed0-e0cbd902647b,single,1
Which of the following is not the source of cytosolic NADPH:-,"SOURCE of Cytosolic NADPH HMP pathway Malic enzyme Isocitrate dehydrogenase Main enzyme - G6PD alternative pathway to glycolysis and TCA cycle for the oxidation of glucose the main pathway for biosynthesis of NADPH and pentoses. Conves malate to pyruvate NADPH and CO2 are generated NADPH mainly utilized for fatty acid synthesis 3 isoenzymes One, which uses (NAD+) in Mitochondria other two use NADP+ in Mitochondria and cytosol",2,Isocitrate dehydrogenase,ATP citrate lyase,Malic enzyme,G6PD,Biochemistry,NEET 2019,6e889549-8ed7-426d-83cb-9fe08204e071,single,2
Which one of the following is lyase enzyme?,"Ref: Multiple Sources, Lippineott's, Harpers and Biochemistry for Students By Malhotra, 12th editionExplanation:(See table on the next page) Classes of Enzymes (International Union of Biochemistry)ClassFeatureExampleTransferaseCatalyze transfer of C- N-. P-containing group from one substrate to another* Aspartate and Alanine transaminase (AST/ALTl* Hexukinase* Hexose-1-P04 uridyl transferase* Phosphoglucomutase* Ornithine carbamoyl transferase* Serine hydroxyl methyl transferase (SHT)OxidoreductaseCatalyze oxidation reduction reactions* Alcohol dehydrogenase* Lactate dehydrogenase* Glucose-6-PO dehydrogenase* Glutathione reductase* Xanthine oxidase* TyrosinaseHydrolaseCatalyze hydrolysis-cleavage of bonds by addition of water* Pepsin* Trypsin* Esterases* Glucose-6-phosphatase* CreaseIsomeraseInvolved In isomerization of substrate-catalyze race mi/at ion of optical or geometric isomers* Triose phosphate isomerase* Retinal isomerase* UDP-glucose epimerase* Kacemase* Methyl nialonvi Co A mutaseLyaseCatalyze cleavage of C-C. C-S and C-N bonds and facilitate removal of small molecules from a large substrate* F unia rase* Aldolase* Hydratase* Argino-succinase* Histidine decarboxylase* Pyruvate decarboxylaseLigaseCatalyze formation of bonds between carbon and O. S, N coupled tti hydrolysis of high energy phosphates and involved in joining together two substrates* DNA ligase* Pyruvate carboxylase* Alanyl t-RNA synthetase* Glutamine synthetase",4,Hexokinase,Pyruvate kinase,Proponyl CoA carboxylase,Aldolase B,Biochemistry,Mechanisms of Enzyme Action,c0c763d5-9288-459e-9a4a-db1497a6cc0b,single,4
Creatinine is the breakdown product of:,Creatinine is the breakdown product of creatine phosphate This reaction occurs in muscles & does not involve any enzyme.,4,Adenosine triphosphate,Purine nucleotides,Pyrimidine nucleotides,Creatine phosphate,Biochemistry,"Fuel in Fed, Fasting and Starvation",2e12189b-6899-4cde-804e-9b197481a41a,single,4
Pyruvate dehydrogenase requires -,"Ans. is 'd' i.e., Pantothenic acid o PDH requires CoA (Coenzyme A)o Pentothenic acid is a building block of CoA.",4,Biotin,Pyridoxin,Folic acid,Pantothenic acid,Biochemistry,Mechanisms of Enzyme Action,c1dcc6d6-1c94-4cbc-a5c0-0e9af95d59e4,single,4
Amino acid present in Glutathione peroxidase:,"The enzyme Glutathione Peroxidase is a selenoprotein requires Selenocysteine amino acid at its active site. Function of Glutathione peroxidase In RBCs, there is excess of oxygen which leads to generation of high amounts of H2O2. This H2O2 has to be destroyed to prevent oxidative damage in cell. This happens by following process: Enzyme involved in this process is Glutathione Peroxidase, It conves reduced glutathione (GSH) to oxidized form (GSSG) and in turn H2O2 gets reduced to H2O. Extra information: Selenocysteine is found in approximately 25 human proteins. Enzymes which use selenocysteine at their active sites are known as Selenoproteins e.g 1. Glutathione peroxidase and NOT Glutathione Reductase, which requires FAD (or Vit B2) 2. Thioredoxin reductase 3. Iodothyronine deiodinase Precursor amino acid for selenocysteine is serine. SelenoCysteine - 21st protein forming amino acid - UGA",2,Alanine,Selenocysteine,Cysteine,Serine,Biochemistry,HAEM synth and porphyrias,a9d7f98b-ac43-44d8-a9b0-d8df21086f82,single,2
Ketone bodies not utilised by:,"Ref: Harper's Illustrated Biochemistry, 27th edition. Page 190 and Lippi ncotts Biochemistry, 3rd edition. Page 486Explanation:""Unlike fatty acids, ketone bodies can be used by the brain f but not by cells, such as red blood cells, that lack mitochondria) and, thus are important fuels during a fast. The liver lacks the ability to degrade ketone bodies, and so synthesizes them specifically for the peripheral tissues."" Ref: Lippincott's Biochemistry', 3rd edition. Page 486Substrate utilized by various organs in different statesOrganFed StateFastingStarvationBrainGlucoseGlucoseKetone bodiesHeartFatly acidFatty acidKetone bodiesLiverGlucoseFatty acidAmino acidMusclesGlucoseFatty acidFatty acidKETOLYSISUtilization of ketone bodies.Site:o Mitochondriao Extra hepatic tissue,Tissues:o Heart.o Brain (especially when starving)o Skeletal muscleo Renal cortex.Ketones are NOT utilized by:o RBC - S ince it does NOT contain mitochondria.o Liver - Since it does NOT contain thiophorase enzyme.Note:Liver is the ONLY organ which produces ketone bodies and releases into blood, but it lacks the enzyme responsible (Thiophorase)for their degradation and utilization. This is the reason why liver does not utilize ketone bodies.",2,Brain,RBC,Heart,Skeletal muscle,Biochemistry,Oxidation of Fatty acids: Ketogenesis,93fb0275-8ecf-47f8-b2db-4e065d817ebc,single,4
DNA synthesis takes place in which phase of cell cycle -,"Ans. is 'b'i.e., S Cell cycleo In cell, the replication of the DNA occurs only at a specific time during the life of the cell. This period is referred to as the synthetic phase. The various phases of cell cycle are (in sequence) G0-G1-S-G2-M.# G1 : Presynthetic phaserinterval.S : Synthetic phase (DNA synthesis).G2. : Post synthetic phase/premitoic phase/interval.M : Mitotic phase : Cells are produced which either directly reenter next cycle or pass into non proliferative Go phase.G0 : Quiescent state.",2,G1,S,G2,M,Biochemistry,DNA Replication ,e5afec34-d96a-42c7-9100-834f360b171d,single,2
If the percentage of thymine residues in DNA is 28%. What is the percentage of cytosine?,"According toChargaff's rulein double-stranded DNA, the total purine content is equal to the pyrimidine content. In a double stranded DNA, Chargaff's rule is followed Since =, so = 28% + = 28+28 = 56 % + = 100-(+) = 100-56% =44% As = , so = 44 /2 =22% Chargaff's Rule only applies to double-stranded DNA, due to the complementary base pairing that occurs between A-T and C-G.",4,28%,44%,36%,22%,Biochemistry,NEET Jan 2020,de51a60a-83c1-4483-9bd7-31e30b1513c8,single,4
